salary_id,job_id,pay_period,currency,compensation_type,standardized_max_salary,standardized_min_salary,standardized_med_salary,currency_encoded,compensation_type_encoded
34212,3905824208,YEARLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34213,3902346349,YEARLY,USD,BASE_SALARY,105000.0,100000.0,100000.0,5,0
34214,3905823643,HOURLY,USD,BASE_SALARY,118560.0,112320.0,112320.0,5,0
34215,3905818855,YEARLY,USD,BASE_SALARY,400000.0,50000.0,63918.309907429066,5,0
34216,3905817787,YEARLY,USD,BASE_SALARY,140.0,120.0,140.0,5,0
34217,3905824343,YEARLY,USD,BASE_SALARY,100000.0,80000.0,80000.0,5,0
34218,3904087478,YEARLY,USD,BASE_SALARY,175000.0,150000.0,150000.0,5,0
34219,3905828035,YEARLY,USD,BASE_SALARY,145000.0,120000.0,120000.0,5,0
34220,3905822378,YEARLY,USD,BASE_SALARY,400000.0,50000.0,63918.309907429066,5,0
34221,3905827090,YEARLY,USD,BASE_SALARY,50000.0,45000.0,50000.0,5,0
34222,3905819756,YEARLY,USD,BASE_SALARY,400000.0,50000.0,63918.309907429066,5,0
34223,3905816983,YEARLY,USD,BASE_SALARY,400000.0,50000.0,63918.309907429066,5,0
34224,3905816984,YEARLY,USD,BASE_SALARY,400000.0,50000.0,63918.309907429066,5,0
34225,3905822676,YEARLY,USD,BASE_SALARY,190000.0,160000.0,160000.0,5,0
34226,3905818819,HOURLY,USD,BASE_SALARY,62400.0,52000.0,62400.0,5,0
34227,3904087483,YEARLY,USD,BASE_SALARY,28.0,22.0,28.0,5,0
34228,3905822756,HOURLY,USD,BASE_SALARY,28080.0,28080.0,28080.0,5,0
34229,3904090453,YEARLY,USD,BASE_SALARY,65000.0,50000.0,63918.309907429066,5,0
34230,3904088480,HOURLY,USD,BASE_SALARY,64480.0,52000.0,63918.309907429066,5,0
34231,3905824583,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34232,3905828153,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34233,3905824546,YEARLY,USD,BASE_SALARY,90000.0,80000.0,80000.0,5,0
34234,3904092141,YEARLY,USD,BASE_SALARY,130000.0,115000.0,115000.0,5,0
34235,3902345344,YEARLY,USD,BASE_SALARY,97000.0,75000.0,75000.0,5,0
34236,3905824552,YEARLY,USD,BASE_SALARY,75000.0,60000.0,63918.309907429066,5,0
34237,3902347145,YEARLY,USD,BASE_SALARY,200000.0,125000.0,125000.0,5,0
