company_id,employee_count,follower_count,time_recorded
1098458,40,13850,2024-04-11 17:51:43
14562893,3013,350785,2024-04-11 17:51:43
266626,2312,69372,2024-04-11 17:51:43
21380,567,52108,2024-04-11 17:51:43
19788656,105,13772,2024-04-11 17:51:43
2985733,936,476253,2024-04-11 17:51:43
19180090,34,97,2024-04-11 17:51:43
78680932,5,81,2024-04-11 17:51:43
73062843,21,2246,2024-04-11 17:51:43
40577,748,4589,2024-04-11 17:51:43
3077586,156,90520,2024-04-11 17:51:43
390109,185,5989,2024-04-11 17:51:43
90408525,3,3684,2024-04-11 17:51:43
2283087,59,46036,2024-04-11 17:51:43
3019440,18,7915,2024-04-11 17:51:43
165757,6291,1252483,2024-04-11 17:51:43
33242739,35134,4348577,2024-04-11 17:51:43
24073,1460,37257,2024-04-11 17:51:43
2687116,392,23154,2024-04-11 17:52:18
946114,36,8587,2024-04-11 17:52:18
102829467,13,934,2024-04-11 17:52:18
2409707,209,5323,2024-04-11 17:52:18
4757303,81,1614,2024-04-11 17:52:19
2985733,932,476255,2024-04-11 17:52:19
94479,216,8988,2024-04-11 17:52:19
6381133,33,344,2024-04-11 17:52:19
2091531,647,49297,2024-04-11 17:52:19
485531,1066,33290,2024-04-11 17:52:19
101791563,8,799,2024-04-11 17:52:19
10389553,61,3276,2024-04-11 17:52:19
4812585,3,11572,2024-04-11 17:52:19
54134269,8,462,2024-04-11 17:52:19
1269,35517,819834,2024-04-11 17:52:19
80301496,44,347,2024-04-11 17:52:19
83111,34103,801033,2024-04-11 17:52:19
3361646,85,6222,2024-04-11 17:52:19
103407882,0,0,2024-04-11 17:52:19
31815,992,11215,2024-04-11 17:53:58
560529,553,696,2024-04-11 17:53:58
6593203,40,900,2024-04-11 17:53:58
1258653,33720,427358,2024-04-11 17:53:58
89762151,9,3644,2024-04-11 17:53:58
53107478,15,2593,2024-04-11 17:53:58
470375,76,1166,2024-04-11 17:53:58
2197293,580,14878,2024-04-11 17:53:58
45153,532,4828,2024-04-11 17:53:58
126600,1770,12666,2024-04-11 17:53:58
28663263,909,18689,2024-04-11 17:53:58
570101,189,21619,2024-04-11 17:53:58
89972764,5,19,2024-04-11 17:53:58
77637529,21,358,2024-04-11 17:53:58
1927,3382,184135,2024-04-11 17:53:58
30179852,22,8973,2024-04-11 17:53:58
1122148,52,949,2024-04-11 17:53:58
9192818,19,1305,2024-04-11 17:53:58
33242739,35110,4348590,2024-04-11 17:53:58
961273,142,29264,2024-04-11 17:53:58
166921,9745,160447,2024-04-11 17:53:58
5350373,12,332,2024-04-11 17:53:58
162547,8992,89012,2024-04-11 17:53:58
16874,521,11493,2024-04-11 17:53:58
3356865,55,29782,2024-04-11 17:53:58
80684099,32,7226,2024-04-11 17:53:58
15900330,4,17,2024-04-11 17:53:58
